c,n=4 Prop,n=4 Shew,n=5 Prop,n=5 Shew,n=6 Prop,n=6 Shew,n=7 Prop,n=7 Shew
1.0,299.7427437105055,299.70455967421265,299.8075622291597,299.68735131556537,299.89046864577796,299.9544721238588,299.80431519675506,299.7430874799496
1.1,164.4219421951571,167.58986652555413,156.86401114127722,159.1468122629238,148.40471867592296,152.29270051773412,142.69328492452672,146.21372096074296
1.2,99.59840694704329,103.54505789360924,91.62569903598165,94.46648435761023,82.80992554980877,87.33938844679525,77.27795084863246,81.34895173165226
1.3,65.11629255136162,69.05902857379229,58.227024740252446,61.05303586343846,50.658675028038196,54.9628533047535,46.18802133016576,50.02168398146621
1.4,45.209331263017994,48.900345811053846,39.53131212272924,42.16764247918906,33.31154671245508,37.18141041352878,29.823776301371996,33.243537359951695
1.5,32.94071066253363,36.318687639999325,28.296459209635763,30.702594856060497,23.212388708267607,26.63610823396945,20.48800212270332,23.493032285366844
1.6,24.96709605815347,28.036877056944554,21.14617586569942,23.327874084822508,16.960696913091596,19.98260349424353,14.805621976385613,17.4421223617904
1.7,19.552586267303614,22.340901086686674,16.375602603061253,18.353339211102664,12.890907996368615,15.566189375375888,11.158923550834151,13.480331824911648
1.8,15.738437490796334,18.277136040931772,13.065108505215981,14.86242697138691,10.12822895457609,12.5086723294541,8.713628980162376,10.768753503683579
1.9,12.966865399361133,15.286673396653283,10.69037486988938,12.3296739922843,8.185549442553437,10.315791690203264,7.0123844797504296,8.842666376319077
2.0,10.898657657236503,13.027095130276006,8.938067403832354,10.439266948086589,6.777862266831212,8.695179305535259,5.791178654724124,7.430885571195623
3.0,3.7539984727969444,4.847388619127956,3.0669475498246865,3.8195491297561412,2.3144960147018097,3.166904378068679,2.019291517785306,2.7170557480010222
4.0,2.325030910681956,3.025917405640828,1.9495739824427505,2.417322319391191,1.5519922760831038,2.0421948913260195,1.4062851148035769,1.7905263713614405
